post_date,sheikh,series_name,khutbah_title,audio_length,location_or_online,series_part
10/26/2025 2:38 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,10:56,جامعالورود,3
10/26/2025 2:40 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,20:30,عن بعد,7
10/26/2025 7:33 AM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,01:08,جامعالورود,2
10/26/2025 7:40 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,01:03:05,جامعالورود,6
10/26/2025 9:03 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,20:27,عن بعد,9
10/29/2025 2:02 AM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب البيوع,,25:02,عن بعد,20
10/29/2025 12:37 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,5:56,جامعالورود,4
10/29/2025 12:53 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,7:22,جامعالورود,5
11/2/2025 6:31 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,15:18,جامعالورود,5
11/9/2025 9:27 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,09:15,جامعالورود,6
11/27/2025 2:46 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,42:40,جامعالورود,6
11/27/2025 2:50 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب البيوع,,12:14,عن بعد,2
11/27/2025 3:41 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,43:57,جامعالورود,7
11/28/2025 8:49 PM,حسن بن محمد منصور الدغريري,[ #خطبة_الجمعة]🔸,,26:07,عن بعد,3
11/30/2025 1:03 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,10:17,جامعالورود,7
11/30/2025 1:17 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,58:20,جامعالورود,7
11/30/2025 1:22 AM,حسن بن محمد منصور الدغريري,المورد العذب الزلال,,42:51,جامعالورود,1
11/30/2025 1:22 AM,حسن بن محمد منصور الدغريري,"التفسير الميسر ( سورة التكوير  ""٢"" )",,06:05,,9
11/30/2025 6:55 PM,حسن بن محمد منصور الدغريري,"التفسير الميسر ( سورة المطففين  ""١"" )",,05:35,,11
12/2/2025 12:41 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,10:46,جامعالورود,8
12/2/2025 12:47 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,11:25,جامعالورود,8
12/2/2025 12:49 AM,حسن بن محمد منصور الدغريري,[ #خطبة_الاستسقاء]🔸,,55:49,جامعالورود,1
12/2/2025 5:56 PM,حسن بن محمد منصور الدغريري,المورد العذب الزلال,,34:17,جامعالورود,2
12/2/2025 6:01 PM,حسن بن محمد منصور الدغريري,المورد العذب الزلال,,59:22,جامعالورود,3
12/2/2025 6:03 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,06:58,جامعالورود,9
12/2/2025 6:12 PM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,52:58,جامعالورود,8
12/2/2025 6:19 PM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,01:03,جامعالورود,4
12/2/2025 6:25 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب البيوع,,24:15,عن بعد,6
12/3/2025 11:38 AM,حسن بن محمد منصور الدغريري,[ #خطبة_الجمعة]🔸,,32:50,جامعالورود,4
12/8/2025 6:34 PM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,34:44,جامعالورود,5
12/8/2025 6:41 PM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,56:16,جامعالورود,6
12/8/2025 8:23 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,08:14,جامعالورود,20
12/8/2025 10:46 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - كتاب البيوع,,16:12,عن بعد,7
12/8/2025 11:09 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,33:27,جامعالورود,3
12/8/2025 11:16 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,12:09,جامعالورود,20
12/8/2025 11:56 PM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,43:47,جامعالورود,9
12/9/2025 12:06 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,11:28,جامعالورود,20
12/9/2025 12:12 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,13:54,جامعالورود,2
12/9/2025 12:54 AM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,28:36,عن بعد,3
12/9/2025 12:54 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,12:00,جامعالورود بحي الورورد بجدة - ١٠ / ٦ / ١٤٤٧,20
12/9/2025 1:03 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,22:07,جامعالورود,2
12/9/2025 1:05 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,25:14,عن بعد,8
12/9/2025 6:50 PM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,41:24,جامعالورود,3
12/9/2025 6:57 PM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,46:25,جامعالورود,10
12/11/2025 4:26 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,12:52,جامعالورود,7
12/11/2025 4:51 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,13:20,جامعالورود,9
12/11/2025 9:06 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,09:07,جامعالورود من كتاب الصلاة ( ١ ),3
12/12/2025 2:19 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,17:02,جامعالورود,5
12/13/2025 1:45 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,45:03,جامعالورود,1
12/13/2025 1:58 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا -,,27:52,عن بعد,8
12/13/2025 2:02 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا -,,31:29,عن بعد,9
12/13/2025 2:05 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا -,,14:21,عن بعد,4
12/13/2025 2:07 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا -,,10:30,عن بعد,5
12/13/2025 2:08 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا -,,16:12,عن بعد,8
12/13/2025 2:10 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - باب الهبة والعمرى والركبة -,,41:02,عن بعد,9
12/13/2025 2:13 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,12:50,عن بعد,2
12/13/2025 2:16 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,11:08,عن بعد,3
12/13/2025 2:17 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,16:16,عن بعد,5
12/13/2025 2:18 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,18:14,عن بعد,10
12/13/2025 2:19 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,26:10,عن بعد,4
12/13/2025 2:22 PM,حسن بن محمد منصور الدغريري,التفسير الميسر ( سورة الانشقاق ),,10:39,,3
12/15/2025 8:46 PM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,39:52,جامعالورود,7
12/15/2025 8:49 PM,حسن بن محمد منصور الدغريري,المورد العذب الزلال,,48:06,جامعالورود,5
12/18/2025 12:45 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,48:15,جامعالورود,11
